# Fronte;Retro
Cosa sono i CFU di base del corso?;6 CFU sui fondamenti della programmazione funzionale.
Qual è il focus storico del corso?;Breve storia dei linguaggi di programmazione, con riferimento a quelli funzionali.
Cosa si intende per 'Calcolo come riscrittura'?;Le basi dell'esecuzione dei programmi funzionali: valutare espressioni riscrivendole.
Quali sono i concetti base delle espressioni?;Espressioni, loro tipi e tipi di base.
Qual è un tema centrale della progettazione funzionale?;Tecniche di ricorsione.
Quale struttura dati è fondamentale nella prima parte?;Liste e funzioni del primo ordine su liste.
Cosa si studia riguardo la correttezza?;Dimostrazioni induttive di correttezza di programmi funzionali.
Cosa si intende per 'Astrazione Funzionale'?;Uso di funzioni di ordine superiore e pattern di trasformazione.
Quali tipi di dati avanzati vengono trattati?;Alberi e tipi algebrici generali.
Il paradigma funzionale è introdotto anche in quale altro linguaggio?;Java (Introduzione alla programmazione funzionale in Java).
Quali sono le caratteristiche del paradigma funzionale?;Astrazione, modularità e rapidità di sviluppo.
Per cosa si presta bene il paradigma funzionale?;Manipolazione simbolica (interpreti, compilatori, analizzatori).
Cosa richiede il paradigma funzionale rispetto a quello imperativo?;Un approccio radicalmente diverso alla programmazione.
Come vengono descritti gli algoritmi di inferenza di tipo?;Consentono di scrivere codice senza annotazioni, calcolando i tipi automaticamente.
Cosa sono i Tipi di Dato Parametrici in Java?;Conosciuti come Generics, nati prima nei linguaggi funzionali.
Cosa sono le 'λ espressioni' in Java?;Funzioni anonime, introdotte in Java 8.
Cosa sono gli 'Stream' in Java 8?;Liste infinite, concetto derivato dalla programmazione funzionale.
Qual è l'obiettivo dei 9 CFU aggiuntivi?;Mostrare come speculazioni matematiche suggeriscano metodi alternativi di implementazione.
Cos'è la corrispondenza di Curry-Howard?;Un esempio di connessione tra logica e programmazione (prove come programmi).
Qual è il concetto matematico centrale della seconda parte?;Monade.
Oltre all'I/O di Haskell, a cosa servono le Monadi?;Base per soluzioni a problemi computazionali e verifica semi-automatica.
Qual è il contesto teorico della seconda parte?;La Teoria delle Categorie.
Qual è l'ambizione della Teoria delle Categorie?;Identificare schemi identici in diverse branche della matematica.
Qual è il principio base della Teoria delle Categorie?;Generalizzazione di funzioni (frecce) e composizione.
Cosa sono i 'pattern' nella Teoria delle Categorie?;Insiemi di oggetti e frecce con proprietà universali.
A cosa somigliano i pattern categoriali in informatica?;Interfacce di classi o tipi di dato astratto.
Cosa sono le Categorie di Kleisli in Haskell?;Relazionate ai Funtori Applicativi e Monadici (Monadi di Haskell).
Cos'è 'IO a' in Haskell?;Un esempio di Monade (o Funtore Applicativo Monadico).
Come sarà il metodo didattico della seconda parte?;Alternanza tra teoria e sperimentazione in Haskell.
Chi è l'autore del corso (implicito dal contesto)?;Docente di LPP.
Cos'è una funzione pura?;Una funzione il cui output dipende solo dall'input e non ha side effects.
Cos'è la trasparenza referenziale?;Un'espressione può essere sostituita dal suo valore senza cambiare il comportamento del programma.
Cos'è la ricorsione?;Una funzione che chiama se stessa per risolvere sottoproblemi.
Cos'è la ricorsione di coda (Tail Recursion)?;Ricorsione dove la chiamata ricorsiva è l'ultima operazione eseguita.
Vantaggio della Tail Recursion?;Può essere ottimizzata dal compilatore in un ciclo (TCO).
Cos'è una lista in programmazione funzionale?;Una struttura dati ricorsiva (Testa e Coda).
Cos'è la funzione 'map'?;Applica una funzione a ogni elemento di una lista restituendo una nuova lista.
Cos'è la funzione 'filter'?;Seleziona elementi di una lista che soddisfano un predicato.
Cos'è la funzione 'fold' (o reduce)?;Combina gli elementi di una lista in un singolo valore usando una funzione accumulatore.
Cos'è una funzione di ordine superiore?;Una funzione che prende altre funzioni come argomenti o restituisce una funzione.
Cos'è il Currying?;Trasformare una funzione con n argomenti in una catena di n funzioni con un solo argomento.
Cos'è l'applicazione parziale?;Fissare alcuni argomenti di una funzione producendo una nuova funzione con meno argomenti.
Cos'è un Tipo Algebrico (ADT)?;Un tipo definito componendo altri tipi (Somma e Prodotto).
Cos'è un Tipo Somma?;Un tipo che può assumere uno tra diversi valori alternativi (es. Enum con dati).
Cos'è un Tipo Prodotto?;Un tipo che contiene più valori contemporaneamente (es. Tuple, Record).
